net_worth,full_name,age,gender,country_of_citizenship,country_of_residence,city_of_residence,industries,self_made,cpi_country,cpi_change_country,gdp_country,life_expectancy_country
211,Bernard Arnault & family,74,Male,France,France,Paris,Fashion & Retail,FALSE,110.05,1.1,2.715518274,82.5
180,Elon Musk,51,Male,United States,United States,Austin,Automotive,TRUE,117.24,7.5,21.4277,78.5
114,Jeff Bezos,59,Male,United States,United States,Medina,Technology,TRUE,117.24,7.5,21.4277,78.5
107,Larry Ellison,78,Male,United States,United States,Lanai,Technology,TRUE,117.24,7.5,21.4277,78.5
106,Warren Buffett,92,Male,United States,United States,Omaha,Finance & Investments,TRUE,117.24,7.5,21.4277,78.5
104,Bill Gates,67,Male,United States,United States,Medina,Technology,TRUE,117.24,7.5,21.4277,78.5
94.5,Michael Bloomberg,81,Male,United States,United States,New York,Media & Entertainment,TRUE,117.24,7.5,21.4277,78.5
93,Carlos Slim Helu & family,83,Male,Mexico,Mexico,Mexico City,Telecom,TRUE,141.54,3.6,1.258286717,75
83.4,Mukesh Ambani,65,Male,India,India,Mumbai,Diversified,FALSE,180.44,7.7,2.611,69.4
80.7,Steve Ballmer,67,Male,United States,United States,Hunts Point,Technology,TRUE,117.24,7.5,21.4277,78.5
80.5,Francoise Bettencourt Meyers & family,69,Female,France,France,Paris,Fashion & Retail,FALSE,110.05,1.1,2.715518274,82.5
79.2,Larry Page,50,Male,United States,United States,Palo Alto,Technology,TRUE,117.24,7.5,21.4277,78.5
77.3,Amancio Ortega,87,Male,Spain,Spain,La Coruna,Fashion & Retail,TRUE,110.96,0.7,1.394116311,83.3
76,Sergey Brin,49,Male,United States,United States,Los Altos,Technology,TRUE,117.24,7.5,21.4277,78.5
68,Zhong Shanshan,68,Male,China,China,Hangzhou,Food & Beverage,TRUE,125.08,2.9,19.91,77
64.4,Mark Zuckerberg,38,Male,United States,United States,Palo Alto,Technology,TRUE,117.24,7.5,21.4277,78.5
59,Charles Koch & family,87,Male,United States,United States,Wichita,Diversified,FALSE,117.24,7.5,21.4277,78.5
59,Julia Koch & family,60,Female,United States,United States,New York,Diversified,FALSE,117.24,7.5,21.4277,78.5
58.8,Jim Walton,74,Male,United States,United States,Bentonville,Fashion & Retail,FALSE,117.24,7.5,21.4277,78.5
57.6,Rob Walton & family,78,Male,United States,United States,Bentonville,Fashion & Retail,FALSE,117.24,7.5,21.4277,78.5
