year,net_worth,full_name,age,gender,country_of_citizenship,country_of_residence,city_of_residence,self_made,wealth_status,industries,region_gdp,industry_gdp
2017,86,Bill Gates,61,Male,United States,United States,Medina,TRUE,Increased,Technology,19.5,1.01
2017,75.6,Warren Buffett,86,Male,United States,United States,Omaha,TRUE,Increased,Finance & Investments,19.5,1.508
2017,72.8,Jeff Bezos,53,Male,United States,United States,Seattle,TRUE,Increased,Technology,19.5,1.01
2017,56,Mark Zuckerberg,32,Male,United States,United States,Palo Alto,TRUE,Increased,Technology,19.5,1.01
2017,52.2,Larry Ellison,72,Male,United States,United States,Woodside,TRUE,Increased,Technology,19.5,1.01
2017,48.3,Charles Koch,81,Male,United States,United States,Wichita,FALSE,Increased,Diversified,19.5,NA
2017,48.3,David Koch,76,Male,United States,United States,New York,FALSE,Increased,Diversified,19.5,NA
2017,47.5,Michael Bloomberg,75,Male,United States,United States,New York,TRUE,Increased,Media & Entertainment,19.5,0.21380000000000002
2017,40.7,Larry Page,43,Male,United States,United States,Palo Alto,TRUE,Increased,Technology,19.5,1.01
2017,39.8,Sergey Brin,43,Male,United States,United States,Los Altos,TRUE,Increased,Technology,19.5,1.01
2017,34.1,S. Robson Walton,72,Male,United States,United States,Bentonville,FALSE,Increased,Fashion & Retail,19.5,1.1789
2017,34,Jim Walton,68,Male,United States,United States,Bentonville,FALSE,Increased,Fashion & Retail,19.5,1.1789
2017,33.8,Alice Walton,67,Female,United States,United States,Fort Worth,FALSE,Increased,Fashion & Retail,19.5,1.1789
2017,30.4,Sheldon Adelson,83,Male,United States,United States,Las Vegas,TRUE,Increased,Gambling & Casinos,19.5,NA
2017,30,Steve Ballmer,60,Male,United States,United States,Hunts Point,TRUE,Increased,Technology,19.5,1.01
2017,27,Jacqueline Mars,77,Female,United States,United States,The Plains,FALSE,Increased,Food & Beverage,19.5,0.6174
2017,27,John Mars,81,Male,United States,United States,Jackson,FALSE,Increased,Food & Beverage,19.5,0.6174
2017,26.2,Phil Knight & family,79,Male,United States,United States,Hillsboro,TRUE,Increased,Fashion & Retail,19.5,1.1789
2017,25.2,George Soros,86,Male,United States,United States,Katonah,TRUE,Increased,Finance & Investments,19.5,1.508
2017,20.4,Michael Dell,52,Male,United States,United States,Austin,TRUE,Increased,Technology,19.5,1.01
2017,20,Laurene Powell Jobs & family,53,Female,United States,United States,Palo Alto,FALSE,Increased,NA,19.5,NA
2017,19.9,Paul Allen,64,Male,United States,United States,Mercer Island,TRUE,Increased,Technology,19.5,1.01
2017,18.3,Charles Ergen,64,Male,United States,United States,Denver,TRUE,Increased,Media & Entertainment,19.5,0.21380000000000002
2017,18,James Simons,78,Male,United States,United States,East Setauket,TRUE,Increased,Finance & Investments,19.5,1.508
2017,16.8,Ray Dalio,67,Male,United States,United States,Greenwich,TRUE,Increased,Finance & Investments,19.5,1.508
2017,16.6,Carl Icahn,81,Male,United States,United States,New York,TRUE,Decreased,Finance & Investments,19.5,1.508
2017,15.2,Donald Bren,84,Male,United States,United States,Newport Beach,TRUE,Increased,Real Estate,19.5,2.525
2017,14.4,Abigail Johnson,55,Female,United States,United States,Milton,FALSE,Increased,Finance & Investments,19.5,1.508
2017,13.9,Elon Musk,45,Male,United States,United States,Los Angeles,TRUE,Increased,Automotive,19.5,NA
2017,13.8,Thomas Peterffy,72,Male,United States,United States,Palm Beach,TRUE,Increased,Finance & Investments,19.5,1.508
2017,13.3,Harold Hamm & family,71,Male,United States,United States,Oklahoma City,TRUE,Increased,Energy,19.5,NA
2017,13.1,Rupert Murdoch & family,86,Male,United States,United States,New York,TRUE,Increased,Media & Entertainment,19.5,0.21380000000000002
2017,13,Steve Cohen,60,Male,United States,United States,Greenwich,TRUE,Increased,Finance & Investments,19.5,1.508
2017,12.5,Philip Anschutz,77,Male,United States,United States,Denver,FALSE,Increased,Finance & Investments,19.5,1.508
2017,12.5,Ronald Perelman,74,Male,United States,United States,New York,TRUE,Increased,Finance & Investments,19.5,1.508
2017,12.2,Jim Kennedy,69,Male,United States,United States,Atlanta,FALSE,Increased,Media & Entertainment,19.5,0.21380000000000002
2017,12.1,Donald Newhouse,87,Male,United States,United States,Somerset County,FALSE,Increased,Media & Entertainment,19.5,0.21380000000000002
2017,11.8,Stephen Schwarzman,70,Male,United States,United States,New York,TRUE,Increased,Finance & Investments,19.5,1.508
2017,11.8,Alain Wertheimer,68,Male,France,United States,New York,FALSE,Increased,Fashion & Retail,19.5,1.1789
2017,11.8,Gerard Wertheimer,66,Male,France,United States,New York,FALSE,Increased,Fashion & Retail,19.5,1.1789
2017,11.3,Lukas Walton,30,Male,United States,United States,Jackson,FALSE,Increased,Fashion & Retail,19.5,1.1789
2017,11.1,Eric Schmidt,61,Male,United States,United States,Atherton,TRUE,Increased,Technology,19.5,1.01
2017,11,David Tepper,59,Male,United States,United States,Miami Beach,TRUE,Decreased,Finance & Investments,19.5,1.508
2017,10.7,Dustin Moskovitz,32,Male,United States,United States,San Francisco,TRUE,Increased,Technology,19.5,1.01
2017,10.4,Andrew Beal,64,Male,United States,United States,Dallas,TRUE,Increased,Finance & Investments,19.5,1.508
2017,10.2,"John Menard, Jr.",77,Male,United States,United States,Eau Claire,TRUE,Increased,Fashion & Retail,19.5,1.1789
2017,9.4,James Goodnight,74,Male,United States,United States,Cary,TRUE,Increased,Technology,19.5,1.01
2017,9,Jan Koum,41,Male,United States,United States,Santa Clara,TRUE,Increased,Technology,19.5,1.01
2017,8.9,Leonard Lauder,79,Male,United States,United States,New York,FALSE,Decreased,Fashion & Retail,19.5,1.1789
2017,8.8,"Thomas Frist, Jr. & family",78,Male,United States,United States,Nashville,TRUE,Increased,Health care,19.5,1.4713
2017,8.6,Patrick Soon-Shiong,64,Male,United States,United States,Los Angeles,TRUE,Decreased,Health care,19.5,1.4713
2017,8.2,Shahid Khan,66,Male,United States,United States,Naples,TRUE,Increased,Automotive,19.5,NA
