continent,country,capital_city,capital_population
Europe,Åland Islands,Mariehamn,11709
Europe,Albania,Tirana,418495
Europe,Andorra,Andorra la Vella,22886
Europe,Austria,Vienna,1911191
Europe,Belarus,Minsk,2009786
Europe,Belgium,Brussels,1175173
Europe,Bosnia and Herzegovina,Sarajevo,275524
Europe,Bulgaria,Sofia,1241675
Europe,Croatia,Zagreb,792875
Europe,Czechia,Prague,1301132
Europe,Denmark,Copenhagen,616098
Europe,Estonia,Tallinn,430805
Europe,Faroe Islands,Tórshavn,13408
Europe,Finland,Helsinki,645657
Europe,France,Paris,2206488
Europe,Germany,Berlin,3664088
Europe,Gibraltar,Gibraltar,34003
Europe,Greece,Athens,664046
Europe,Guernsey,Saint Peter Port,18958
Europe,Hungary,Budapest,1752286
Europe,Iceland,Reykjavík,124644
Europe,Ireland,Dublin,553165
Europe,Isle of Man,Douglas,27938
Europe,Italy,Rome,2873147
Europe,Jersey,Saint Helier,33500
Europe,Kosovo,Pristina,211129
Europe,Latvia,Riga,632614
Europe,Liechtenstein,Vaduz,5668
Europe,Lithuania,Vilnius,546382
Europe,Luxembourg,Luxembourg,119215
Europe,Malta,Valletta,5735
Europe,Moldova,Chisinau,339079
Europe,Montenegro,Podgorica,187085
Europe,Netherlands,Amsterdam,872680
Europe,North Macedonia,Skopje,546824
Europe,Norway,Oslo,681067
Europe,Poland,Warsaw,1793579
Europe,Portugal,Lisbon,505526
Europe,Principality of Monaco,Monaco,37308
Europe,Romania,Bucharest,1829897
Europe,Russia,Moscow,12506468
Europe,San Marino,San Marino,4127
Europe,Serbia,Belgrade,1378682
Europe,Slovakia,Bratislava,427744
Europe,Slovenia,Ljubljana,279650
Europe,Spain,Madrid,3223334
Europe,Svalbard,Longyearbyen,2144
Europe,Sweden,Stockholm,935619
Europe,Switzerland,Bern,133883
Europe,Ukraine,Kyiv,2962180
Europe,United Kingdom,London,8961989
Europe,Vatican City,Vatican City,453
The Americas,Anguilla,The Valley,2812
The Americas,Antigua and Barbuda,Saint John’s,81799
The Americas,Argentina,Buenos Aires,2891082
The Americas,Aruba,Oranjestad,34980
The Americas,Bahamas,Nassau,274400
The Americas,Barbados,Bridgetown,110000
The Americas,Belize,Belmopan,16451
The Americas,Bermuda,Hamilton,854
The Americas,Bolivia,Sucre,300000
The Americas,Brazil,Brasilia,2912090
The Americas,British Virgin Islands,Road Town,12603
The Americas,Canada,Ottawa,1028514
The Americas,Cayman Islands,George Town,28089
The Americas,Chile,Santiago,6269384
The Americas,Colombia,Bogota,7412566
The Americas,Costa Rica,San José,347398
The Americas,Cuba,Havana,2131937
The Americas,Curacao,Willemstad,150000
The Americas,Dominica,Roseau,16582
The Americas,Dominican Republic,Santo Domingo,965040
The Americas,Ecuador,Quito,2011388
The Americas,El Salvador,San Salvador,238244
The Americas,Falkland Islands,Stanley,2121
